trial,algorithm,size,bend,colour,distance,length,width,run,coverage,MSE,replacements,less_than_20s,variation
12,I,I10000,100,10A10B,10,0,0,0,11260,5.293177083333333,589,5,10000S
13,I,I1000,100,10A10B,10,0,100,1,7491,3.37619212962963,585,13,100W
13,I,I1000,100,10A10B,10,0,100,2,7517,3.221701388888889,598,14,100W
13,I,I1000,100,10A10B,10,0,100,3,7667,3.2961516203703702,664,16,100W
13,I,I1000,100,10A10B,10,0,100,4,6977,2.9902777777777776,427,11,100W
13,I,I1000,100,10A10B,10,0,100,5,7218,3.377528935185185,535,12,100W
13,I,I1000,100,10A10B,10,0,100,6,8389,3.8924189814814816,675,20,100W
13,I,I1000,100,10A10B,10,0,100,7,7772,3.4271006944444444,566,10,100W
13,I,I1000,100,10A10B,10,0,100,8,7410,3.225914351851852,639,10,100W
13,I,I1000,100,10A10B,10,0,100,9,9524,4.493275462962963,582,14,100W
13,I,I1000,100,10A10B,10,0,100,0,7541,3.6361979166666667,579,12,100W
14,I,I1000,100,10A10B,10,0,1000,1,6742,3.01869212962963,661,12,1000W
14,I,I1000,100,10A10B,10,0,1000,2,6613,2.927465277777778,645,15,1000W
14,I,I1000,100,10A10B,10,0,1000,3,8524,4.108315972222222,635,15,1000W
14,I,I1000,100,10A10B,10,0,1000,4,6234,2.6862731481481483,575,16,1000W
14,I,I1000,100,10A10B,10,0,1000,5,9466,3.9596064814814813,663,12,1000W
14,I,I1000,100,10A10B,10,0,1000,6,10161,4.616915509259259,623,18,1000W
14,I,I1000,100,10A10B,10,0,1000,7,11313,5.212974537037037,609,7,1000W
14,I,I1000,100,10A10B,10,0,1000,8,10444,4.330109953703704,607,11,1000W
14,I,I1000,100,10A10B,10,0,1000,9,8485,3.8125347222222223,620,11,1000W
14,I,I1000,100,10A10B,10,0,1000,0,11816,4.790028935185185,654,9,1000W
15,I,I1000,100,10A10B,10,100,1000,1,9247,4.355688657407407,678,12,100L1000W
15,I,I1000,100,10A10B,10,100,1000,2,7220,3.3677546296296295,559,13,100L1000W
15,I,I1000,100,10A10B,10,100,1000,3,7610,3.1894733796296295,532,12,100L1000W
15,I,I1000,100,10A10B,10,100,1000,4,10027,4.667899305555555,593,13,100L1000W
